x_value,total_1,total_2
154,1193,1062
155,1195,1068
156,1199,1070
157,1201,1071
158,1198,1068
159,1198,1069
160,1197,1073
161,1192,1073
162,1196,1069
163,1197,1070
164,1201,1074
165,1201,1076
166,1206,1080
167,1214,1085
168,1222,1080
169,1220,1078
170,1225,1079
171,1220,1074
172,1217,1078
173,1219,1081
174,1220,1084
175,1227,1090
176,1222,1085
177,1222,1086
178,1222,1090
179,1218,1093
180,1215,1093
181,1209,1092
182,1208,1090
183,1212,1091
184,1215,1087
185,1210,1089
186,1211,1092
187,1205,1087
188,1205,1085
189,1199,1085
190,1196,1083
191,1193,1086
192,1194,1090
193,1195,1094
194,1202,1090
195,1199,1087
196,1196,1087
197,1202,1089
198,1210,1088
199,1215,1093
200,1214,1092
201,1214,1096
202,1209,1094
203,1212,1100
204,1220,1096
205,1223,1094
206,1227,1098
207,1228,1093
208,1223,1095
209,1231,1092
210,1234,1094
211,1239,1099
212,1243,1100
213,1238,1104
214,1242,1099
215,1237,1098
216,1242,1100
217,1240,1103
218,1242,1107
219,1246,1112
220,1243,1109
221,1238,1115
222,1237,1110
223,1244,1115
224,1250,1113
225,1251,1118
226,1259,1116
227,1257,1119
228,1255,1120
229,1255,1121
230,1258,1119
231,1254,1124
232,1258,1119
233,1263,1119
234,1259,1124
235,1265,1126
236,1267,1131
237,1266,1128
238,1261,1127
239,1261,1126
240,1257,1123
241,1257,1127
242,1251,1130
243,1255,1131
244,1262,1133
245,1260,1129
246,1267,1126
247,1264,1125
248,1269,1129
249,1268,1133
250,1276,1137
251,1272,1142
252,1270,1148
253,1266,1153
254,1262,1150
255,1270,1156
256,1268,1153
257,1263,1148
258,1261,1150
259,1265,1155
260,1263,1161
261,1264,1161
262,1261,1159
263,1260,1165
264,1263,1164
265,1262,1159
266,1270,1154
267,1278,1158
268,1283,1159
269,1290,1154
270,1287,1159
271,1289,1160
272,1295,1161
273,1289,1160
274,1290,1159
275,1297,1164
276,1293,1165
277,1292,1166
278,1291,1171
279,1299,1166
280,1296,1172
281,1295,1171
282,1303,1177
283,1300,1175
284,1299,1170
285,1295,1175
286,1300,1177
287,1303,1179
288,1297,1176
289,1294,1180
290,1291,1182
291,1296,1183
292,1294,1179
293,1293,1185
294,1293,1183
295,1291,1185
296,1292,1190
297,1300,1196
298,1308,1191
299,1303,1196
300,1299,1194
301,1296,1197
302,1296,1199
303,1304,1197
304,1299,1195
305,1307,1197
306,1315,1192
307,1314,1188
308,1321,1191
309,1317,1189
310,1324,1190
311,1319,1187
312,1316,1187
313,1315,1184
314,1315,1183
315,1322,1181
316,1322,1187
317,1320,1182
318,1326,1187
319,1333,1186
320,1336,1182
321,1342,1188
322,1341,1186
323,1349,1184
324,1351,1188
325,1355,1193
326,1362,1191
327,1362,1188
328,1363,1194
329,1363,1189
330,1358,1194
331,1359,1192
332,1367,1198
333,1364,1198
334,1367,1193
335,1374,1198
336,1371,1195
337,1372,1194
338,1373,1198
339,1379,1203
340,1386,1202
341,1384,1197
342,1382,1194
343,1377,1197
344,1377,1198
345,1376,1199
346,1380,1199
347,1374,1203
348,1369,1204
349,1365,1207
350,1363,1207
351,1368,1210
352,1365,1210
353,1370,1207
354,1375,1210
355,1378,1211
356,1379,1212
357,1374,1216
358,1380,1222
359,1376,1228
360,1372,1225
361,1378,1223
362,1384,1221
363,1390,1221
364,1395,1220
365,1389,1225
366,1384,1227
367,1392,1225
368,1395,1231
369,1401,1230
370,1396,1226
371,1398,1224
372,1396,1221
373,1399,1223
374,1397,1225
375,1395,1230
376,1395,1226
377,1399,1227
378,1398,1232
379,1396,1233
380,1392,1231
381,1389,1229
382,1383,1233
383,1390,1229
384,1395,1229
385,1403,1233
386,1411,1235
387,1408,1241
388,1403,1240
389,1402,1239
390,1410,1243
391,1405,1246
392,1400,1249
393,1408,1244
394,1415,1248
395,1422,1250
396,1417,1245
397,1412,1246
398,1409,1246
399,1405,1252
400,1407,1248
401,1404,1244
402,1407,1246
403,1410,1248
404,1411,1252
405,1408,1253
406,1416,1249
407,1413,1252
408,1418,1247
409,1413,1251
410,1417,1256
411,1422,1261
412,1430,1265
413,1438,1263
414,1433,1259
415,1434,1265
416,1436,1271
417,1437,1274
418,1438,1279
419,1438,1283
420,1442,1289
421,1442,1284
422,1450,1286
423,1444,1284
424,1444,1290
425,1452,1289
426,1449,1289
427,1450,1284
428,1447,1284
429,1444,1284
430,1440,1288
431,1447,1284
432,1444,1287
433,1443,1292
434,1438,1297
435,1433,1294
436,1436,1299
437,1444,1302
438,1448,1303
439,1445,1303
440,1444,1300
441,1439,1306
442,1436,1307
443,1440,1309
444,1441,1311
445,1442,1309
446,1444,1309
447,1439,1314
448,1446,1309
449,1454,1304
450,1451,1303
451,1451,1302
452,1452,1302
453,1447,1305
454,1444,1300
455,1447,1295
456,1447,1301
457,1454,1296
458,1454,1301
459,1458,1303
460,1461,1305
461,1457,1304
462,1453,1301
463,1453,1304
464,1450,1306
465,1450,1310
466,1456,1315
467,1462,1310
468,1468,1306
469,1464,1311
470,1458,1309
471,1456,1313
472,1451,1312
473,1449,1318
474,1448,1321
475,1454,1320
476,1460,1326
477,1456,1321
478,1457,1325
479,1453,1330
480,1458,1333
481,1452,1329
482,1459,1327
483,1454,1327
484,1462,1328
485,1460,1332
486,1464,1328
487,1468,1325
488,1464,1326
489,1469,1327
490,1464,1324
491,1469,1326
492,1470,1327
493,1471,1330
494,1478,1327
495,1485,1325
496,1485,1328
497,1484,1326
498,1479,1331
499,1481,1331
500,1478,1334
501,1486,1332
502,1483,1328
503,1488,1330
504,1487,1325
505,1489,1321
506,1494,1327
507,1496,1324
508,1498,1327
509,1505,1328
510,1500,1329
511,1508,1332
512,1508,1327
513,1508,1323
514,1508,1320
515,1506,1319
516,1509,1318
517,1511,1321
518,1514,1317
519,1510,1321
520,1516,1319
521,1518,1320
522,1516,1325
523,1518,1328
524,1514,1327
525,1512,1327
526,1509,1324
527,1517,1327
528,1522,1327
529,1523,1331
530,1531,1330
531,1532,1334
532,1535,1332
533,1536,1335
534,1531,1335
535,1526,1335
536,1522,1341
537,1524,1347
538,1523,1342
539,1523,1340
540,1520,1343
541,1525,1345
542,1524,1347
543,1524,1343
544,1519,1348
545,1521,1354
546,1517,1351
547,1515,1353
548,1513,1355
549,1518,1351
550,1518,1356
551,1524,1358
552,1524,1364
553,1518,1370
554,1519,1367
555,1520,1370
556,1522,1375
557,1524,1378
558,1524,1377
559,1523,1381
560,1524,1382
561,1527,1381
562,1528,1385
563,1529,1383
564,1536,1387
565,1532,1388
566,1531,1388
567,1536,1391
568,1537,1388
569,1531,1383
570,1538,1380
571,1538,1382
572,1542,1380
573,1542,1386
574,1544,1382
575,1545,1380
576,1540,1377
577,1545,1381
578,1540,1387
579,1534,1384
580,1531,1386
581,1529,1389
582,1525,1392
583,1527,1396
584,1522,1396
585,1529,1392
586,1523,1398
587,1529,1398
588,1527,1399
589,1522,1398
590,1520,1396
591,1516,1392
592,1522,1395
593,1516,1396
594,1512,1399
595,1512,1397
596,1510,1401
597,1510,1401
598,1505,1402
599,1499,1402
600,1505,1408
601,1501,1414
602,1496,1417
603,1494,1417
604,1499,1419
605,1495,1415
606,1500,1413
607,1494,1408
608,1488,1409
609,1485,1413
610,1483,1412
611,1486,1416
612,1492,1412
613,1486,1416
614,1494,1422
615,1491,1421
616,1485,1419
617,1479,1414
618,1480,1409
619,1476,1414
620,1483,1417
621,1491,1415
622,1496,1410
623,1494,1414
624,1500,1419
625,1494,1424
626,1493,1420
627,1490,1421
628,1493,1423
629,1494,1421
630,1491,1420
631,1498,1426
632,1497,1428
633,1500,1428
634,1495,1426
635,1503,1426
636,1497,1427
637,1492,1423
638,1490,1420
639,1489,1417
640,1491,1420
641,1496,1425
642,1490,1431
643,1495,1433
644,1499,1430
645,1500,1427
646,1502,1433
647,1506,1432
648,1502,1427
649,1508,1426
650,1515,1430
651,1523,1428
652,1518,1429
653,1514,1427
654,1521,1432
655,1520,1436
656,1523,1436
657,1526,1434
658,1528,1431
659,1524,1437
660,1522,1435
661,1528,1436
662,1532,1441
663,1537,1437
664,1533,1438
665,1533,1444
666,1540,1446
667,1547,1445
668,1555,1447
669,1550,1442
670,1556,1444
671,1554,1443
672,1558,1442
673,1559,1442
674,1563,1439
675,1566,1435
676,1573,1431
677,1573,1434
678,1572,1433
679,1569,1438
680,1570,1439
681,1572,1444
682,1568,1446
683,1572,1444
684,1572,1442
685,1575,1441
686,1582,1447
687,1586,1445
688,1582,1448
689,1578,1454
690,1585,1455
691,1586,1458
692,1580,1456
693,1576,1455
694,1574,1459
695,1582,1460
696,1585,1461
697,1582,1465
698,1586,1469
699,1584,1473
700,1583,1469
701,1577,1472
702,1577,1469
703,1584,1471
704,1585,1468
705,1588,1473
706,1591,1471
707,1590,1472
708,1589,1470
709,1591,1466
710,1592,1471
711,1589,1477
712,1592,1473
713,1599,1473
714,1594,1477
715,1598,1475
716,1606,1477
717,1601,1482
718,1608,1478
719,1608,1478
720,1615,1481
721,1616,1478
722,1623,1482
723,1617,1484
724,1618,1482
725,1622,1487
726,1616,1492
727,1617,1494
728,1620,1495
729,1624,1493
730,1624,1491
731,1632,1493
732,1627,1496
733,1635,1498
734,1631,1503
735,1632,1500
736,1634,1501
737,1640,1503
738,1641,1509
739,1636,1511
740,1637,1515
741,1634,1515
742,1636,1515
743,1634,1517
744,1642,1523
745,1648,1528
746,1642,1531
747,1643,1526
748,1639,1526
749,1637,1521
750,1638,1519
751,1632,1516
752,1630,1518
753,1634,1516
754,1636,1517
755,1637,1523
756,1645,1525
757,1643,1530
758,1651,1533
759,1652,1537
760,1653,1534
761,1652,1536
762,1651,1538
763,1649,1538
764,1656,1544
765,1652,1539
766,1650,1545
767,1657,1545
768,1656,1546
769,1650,1541
770,1650,1544
771,1644,1543
772,1651,1538
773,1647,1533
774,1652,1529
775,1660,1525
776,1666,1530
777,1672,1535
778,1675,1539
779,1683,1535
780,1686,1535
781,1686,1531
782,1680,1536
783,1680,1534
784,1687,1540
785,1695,1546
786,1689,1547
787,1687,1546
788,1689,1547
789,1687,1542
790,1693,1541
791,1691,1541
792,1689,1546
793,1693,1551
794,1696,1557
795,1703,1562
796,1704,1566
797,1699,1562
798,1699,1568
799,1698,1570
800,1705,1571
801,1708,1570
802,1702,1567
803,1707,1570
804,1714,1573
805,1713,1568
806,1708,1570
807,1708,1576
808,1712,1577
809,1716,1573
810,1712,1572
811,1716,1567
812,1716,1569
813,1719,1569
814,1715,1569
815,1709,1571
816,1704,1572
817,1711,1577
818,1711,1582
819,1712,1582
820,1713,1579
821,1721,1582
822,1725,1584
823,1727,1583
824,1725,1583
825,1731,1583
826,1738,1579
827,1734,1584
828,1730,1581
829,1731,1576
830,1732,1572
831,1727,1573
832,1733,1579
833,1732,1585
834,1739,1586
835,1734,1586
836,1742,1589
837,1749,1594
838,1751,1590
839,1751,1588
840,1746,1586
841,1741,1582
842,1735,1580
843,1731,1578
844,1730,1579
845,1729,1574
846,1726,1569
847,1726,1571
848,1732,1569
849,1737,1567
850,1744,1566
851,1745,1564
852,1746,1568
853,1748,1573
854,1743,1576
855,1746,1575
856,1743,1575
857,1744,1570
858,1742,1569
859,1737,1565
860,1740,1560
861,1743,1565
862,1739,1561
863,1736,1563
864,1733,1560
865,1736,1564
866,1743,1561
867,1743,1564
868,1738,1568
869,1735,1571
870,1736,1570
871,1742,1573
872,1741,1578
873,1749,1574
874,1744,1573
875,1750,1574
876,1750,1571
877,1756,1566
878,1754,1571
879,1756,1570
880,1764,1568
881,1763,1563
882,1758,1566
883,1762,1565
884,1760,1564
885,1755,1569
886,1752,1575
887,1747,1574
888,1746,1574
889,1744,1578
890,1747,1583
891,1742,1589
892,1748,1585
893,1750,1583
894,1748,1589
895,1744,1592
896,1748,1592
897,1755,1587
898,1756,1591
899,1753,1595
900,1758,1600
901,1755,1604
902,1759,1607
903,1759,1606
904,1755,1612
905,1755,1616
906,1754,1620
907,1752,1620
908,1746,1616
909,1751,1617
910,1754,1612
911,1757,1614
912,1751,1613
913,1755,1616
914,1752,1615
915,1747,1613
916,1753,1619
917,1752,1615
918,1757,1616
919,1757,1621
920,1753,1622
921,1757,1626
922,1753,1629
923,1761,1627
924,1755,1623
925,1752,1619
926,1759,1614
927,1764,1615
928,1765,1612
929,1762,1607
930,1768,1602
931,1769,1601
932,1773,1606
933,1768,1604
934,1771,1602
935,1772,1605
936,1771,1611
937,1775,1606
938,1773,1607
939,1771,1604
940,1779,1609
941,1778,1613
942,1772,1619
943,1777,1615
944,1780,1616
945,1781,1619
946,1777,1622
947,1776,1627
948,1775,1627
949,1773,1633
950,1778,1630
951,1773,1634
952,1771,1632
953,1772,1635
954,1768,1631
955,1767,1635
956,1775,1641
957,1772,1642
958,1766,1647
959,1769,1653
